nu_inscricao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao
210059974467,120.0,120.0,120.0,120.0,120.0,600.0
210059982337,160.0,120.0,120.0,160.0,120.0,680.0
210060373842,80.0,100.0,80.0,100.0,0.0,360.0
210061244805,140.0,160.0,120.0,160.0,160.0,740.0
210061337614,120.0,200.0,120.0,160.0,160.0,760.0
210059589795,160.0,160.0,140.0,120.0,120.0,700.0
210059974468,140.0,120.0,120.0,120.0,40.0,540.0
210059982338,140.0,200.0,140.0,160.0,120.0,760.0
210060440993,120.0,120.0,120.0,120.0,0.0,480.0
210059388099,100.0,80.0,80.0,100.0,20.0,380.0
210059980955,120.0,100.0,80.0,100.0,40.0,440.0
210058061546,140.0,140.0,100.0,120.0,100.0,600.0
210059855129,120.0,200.0,120.0,140.0,140.0,720.0
210058387340,120.0,200.0,140.0,120.0,140.0,720.0
210059085144,100.0,120.0,120.0,120.0,100.0,560.0
210060801608,80.0,120.0,120.0,120.0,40.0,480.0
210059527744,120.0,160.0,120.0,120.0,80.0,600.0
210061103954,140.0,160.0,160.0,160.0,140.0,760.0
210060214095,60.0,180.0,100.0,80.0,80.0,500.0
210059388100,140.0,200.0,120.0,120.0,140.0,720.0
210059980956,160.0,200.0,140.0,160.0,160.0,820.0
210058061547,120.0,40.0,40.0,120.0,40.0,360.0
210059855130,160.0,180.0,160.0,160.0,160.0,820.0
210058573835,160.0,200.0,180.0,180.0,200.0,920.0
210059527742,160.0,180.0,160.0,160.0,180.0,840.0
210061103952,160.0,180.0,160.0,160.0,120.0,780.0
210060214093,160.0,200.0,160.0,160.0,160.0,840.0
210059388098,120.0,180.0,120.0,120.0,120.0,660.0
210059980954,120.0,80.0,120.0,120.0,80.0,520.0
210058061545,140.0,200.0,140.0,160.0,160.0,800.0
210058387339,140.0,160.0,180.0,180.0,160.0,820.0
210059085143,120.0,160.0,120.0,140.0,140.0,680.0
210061103953,120.0,120.0,120.0,120.0,120.0,600.0
210058061557,140.0,180.0,160.0,140.0,120.0,740.0
210059855140,120.0,120.0,100.0,120.0,60.0,520.0
210058387351,140.0,200.0,120.0,140.0,200.0,800.0
210060801619,120.0,120.0,140.0,140.0,120.0,640.0
210059085156,100.0,180.0,120.0,120.0,60.0,580.0
210059540788,160.0,120.0,140.0,180.0,40.0,640.0
210060214106,120.0,120.0,120.0,120.0,120.0,600.0
